Date,Open
07/17/2020,"10,277.63"
07/16/2020,"10,260.64"
07/15/2020,"10,156.61"
07/14/2020,"10,165.45"
07/13/2020,"10,148.91"
07/10/2020,"10,219.17"
07/09/2020,"10,172.34"
07/08/2020,"10,185.94"
07/07/2020,"10,192.33"
07/06/2020,"10,225.67"
07/03/2020,"10,203.83"
07/02/2020,"10,211.41"
07/01/2020,"10,169.19"
06/30/2020,"10,089.41"
06/29/2020,"10,113.99"
06/26/2020,"10,234.68"
06/25/2020,"10,292.12"
06/24/2020,"10,341.77"
06/23/2020,"10,388.71"
06/22/2020,"10,352.71"
06/19/2020,"10,379.62"
06/18/2020,"10,438.48"
06/17/2020,"10,084.64"
06/16/2020,"10,020.27"
06/15/2020,"9,927.06"
06/12/2020,"9,996.29"
06/11/2020,"10,043.41"
06/10/2020,"10,089.90"
06/09/2020,"10,154.93"
06/08/2020,"10,124.27"
06/05/2020,"10,179.11"
06/04/2020,"10,124.81"
06/03/2020,"10,018.58"
06/02/2020,"9,938.61"
06/01/2020,"9,852.80"
05/29/2020,"9,844.88"
05/28/2020,"9,935.25"
05/27/2020,"9,845.38"
05/26/2020,"9,691.94"
05/22/2020,"9,592.54"
05/21/2020,"9,505.71"
05/20/2020,"9,488.52"
05/19/2020,"9,553.52"
05/18/2020,"9,405.87"
05/15/2020,"9,322.91"
05/14/2020,"9,250.20"
05/13/2020,"9,326.44"
05/12/2020,"9,505.66"
05/11/2020,"9,517.11"
05/08/2020,"9,682.07"
05/07/2020,"9,616.30"
05/06/2020,"9,557.04"
05/05/2020,"9,438.01"
05/04/2020,"9,400.70"
04/30/2020,"9,300.42"
04/29/2020,"9,175.44"
04/28/2020,"9,084.10"
04/27/2020,"9,043.76"
04/24/2020,"9,009.80"
04/23/2020,"9,002.18"
04/22/2020,"9,003.69"
04/21/2020,"9,079.98"
04/20/2020,"9,084.88"
04/17/2020,"9,147.82"
04/16/2020,"9,196.10"
04/15/2020,"9,293.04"
04/14/2020,"9,326.70"
04/13/2020,"9,300.27"
04/10/2020,"9,237.67"
04/09/2020,"9,183.80"
04/08/2020,"9,056.03"
04/07/2020,"9,240.00"
04/06/2020,"9,395.76"
04/03/2020,"9,559.50"
04/02/2020,"9,626.54"
04/01/2020,"9,704.85"
03/31/2020,"9,725.94"
03/30/2020,"9,743.75"
03/27/2020,"9,799.53"
03/26/2020,"9,891.77"
03/25/2020,"10,167.92"
03/24/2020,"9,953.45"
03/23/2020,"9,609.27"
03/20/2020,"9,291.60"
03/19/2020,"8,987.89"
03/18/2020,"9,298.54"
03/17/2020,"9,596.00"
03/16/2020,"10,524.05"
03/13/2020,"10,579.76"
03/12/2020,"11,339.46"
03/11/2020,"11,395.21"
03/10/2020,"10,806.41"
03/09/2020,"11,474.03"
03/06/2020,"11,835.47"
03/05/2020,"11,881.83"
03/04/2020,"11,961.71"
03/03/2020,"12,189.28"
03/02/2020,"12,260.94"
